,기준년월,시군구명,평균소득
143,2024-01-01,서울특별시 강동구,40229
144,2024-01-01,서울특별시 강북구,33390
145,2024-01-01,서울특별시 강서구,38867
146,2024-01-01,서울특별시 관악구,34736
147,2024-01-01,서울특별시 광진구,37421
148,2024-01-01,서울특별시 구로구,35305
149,2024-01-01,서울특별시 금천구,33574
150,2024-01-01,서울특별시 노원구,37635
151,2024-01-01,서울특별시 도봉구,35244
152,2024-01-01,서울특별시 동대문구,34936
153,2024-01-01,서울특별시 동작구,39130
154,2024-01-01,서울특별시 마포구,41639
155,2024-01-01,서울특별시 서대문구,37567
156,2024-01-01,서울특별시 서초구,59544
157,2024-01-01,서울특별시 성동구,42651
158,2024-01-01,서울특별시 성북구,38728
159,2024-01-01,서울특별시 송파구,46730
160,2024-01-01,서울특별시 양천구,43168
161,2024-01-01,서울특별시 영등포구,40186
162,2024-01-01,서울특별시 용산구,61913
163,2024-01-01,서울특별시 은평구,36631
164,2024-01-01,서울특별시 종로구,42592
165,2024-01-01,서울특별시 중구,39267
166,2024-01-01,서울특별시 중랑구,34549
167,2024-01-01,없음(세종시),43178
168,2024-01-01,울산광역시 남구,41266
169,2024-01-01,울산광역시 동구,37974
170,2024-01-01,울산광역시 북구,42468
171,2024-01-01,울산광역시 울주군,37984
172,2024-01-01,울산광역시 중구,39492
173,2024-01-01,인천광역시 강화군,33293
174,2024-01-01,인천광역시 계양구,34470
175,2024-01-01,인천광역시 남동구,35523
176,2024-01-01,인천광역시 동구,33326
177,2024-01-01,인천광역시 미추홀구,33460
178,2024-01-01,인천광역시 부평구,35077
179,2024-01-01,인천광역시 서구,37888
180,2024-01-01,인천광역시 연수구,42935
181,2024-01-01,인천광역시 옹진군,33413
182,2024-01-01,인천광역시 중구,37453
183,2024-01-01,전라남도 강진군,32862
184,2024-01-01,전라남도 고흥군,31230
185,2024-01-01,전라남도 곡성군,32945
186,2024-01-01,전라남도 광양시,39041
187,2024-01-01,전라남도 구례군,32665
188,2024-01-01,전라남도 나주시,35930
189,2024-01-01,전라남도 담양군,34624
190,2024-01-01,전라남도 목포시,34399
191,2024-01-01,전라남도 무안군,35813
192,2024-01-01,전라남도 보성군,31738
193,2024-01-01,전라남도 순천시,37753
194,2024-01-01,전라남도 신안군,31434
195,2024-01-01,전라남도 여수시,37664
196,2024-01-01,전라남도 영광군,34264
197,2024-01-01,전라남도 영암군,33380
198,2024-01-01,전라남도 완도군,32170
199,2024-01-01,전라남도 장성군,33301
200,2024-01-01,전라남도 장흥군,33065
201,2024-01-01,전라남도 진도군,32158
202,2024-01-01,전라남도 함평군,32795
203,2024-01-01,전라남도 해남군,32108
204,2024-01-01,전라남도 화순군,33842
205,2024-01-01,전북특별자치도 고창군,33269
206,2024-01-01,전북특별자치도 군산시,35401
207,2024-01-01,전북특별자치도 김제시,32421
208,2024-01-01,전북특별자치도 남원시,33547
209,2024-01-01,전북특별자치도 무주군,32444
210,2024-01-01,전북특별자치도 부안군,31963
211,2024-01-01,전북특별자치도 순창군,32794
212,2024-01-01,전북특별자치도 완주군,35415
213,2024-01-01,전북특별자치도 익산시,34479
214,2024-01-01,전북특별자치도 임실군,32561
215,2024-01-01,전북특별자치도 장수군,32631
216,2024-01-01,전북특별자치도 전주시 덕진구,37340
217,2024-01-01,전북특별자치도 전주시 완산구,36692
218,2024-01-01,전북특별자치도 정읍시,33449
219,2024-01-01,전북특별자치도 진안군,32520
220,2024-01-01,제주특별자치도 서귀포시,36226
221,2024-01-01,제주특별자치도 제주시,35661
222,2024-01-01,충청남도 계룡시,40404
223,2024-01-01,충청남도 공주시,33493
224,2024-01-01,충청남도 금산군,32643
225,2024-01-01,충청남도 논산시,33041
226,2024-01-01,충청남도 당진시,38461
227,2024-01-01,충청남도 보령시,34193
228,2024-01-01,충청남도 부여군,32425
229,2024-01-01,충청남도 서산시,38661
230,2024-01-01,충청남도 서천군,32283
231,2024-01-01,충청남도 아산시,39132
232,2024-01-01,충청남도 예산군,33904
233,2024-01-01,충청남도 천안시 동남구,35331
234,2024-01-01,충청남도 천안시 서북구,40091
235,2024-01-01,충청남도 청양군,32841
236,2024-01-01,충청남도 태안군,33588
237,2024-01-01,충청남도 홍성군,35471
238,2024-01-01,충청북도 괴산군,32218
239,2024-01-01,충청북도 단양군,32897
240,2024-01-01,충청북도 보은군,32685
241,2024-01-01,충청북도 영동군,33223
242,2024-01-01,충청북도 옥천군,32474
243,2024-01-01,충청북도 음성군,33407
244,2024-01-01,충청북도 제천시,34545
245,2024-01-01,충청북도 증평군,35449
246,2024-01-01,충청북도 진천군,35656
247,2024-01-01,충청북도 청주시 상당구,36643
248,2024-01-01,충청북도 청주시 서원구,36276
249,2024-01-01,충청북도 청주시 청원구,37929
250,2024-01-01,충청북도 청주시 흥덕구,39687
251,2024-01-01,충청북도 충주시,34617
